image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0235,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.01497956147392968
akd_0235,728,last,feature_hdbscan_medoid,0.0,translate,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.006285385996996163
akd_0235,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,5,5,5,1.0,1.0,1.0,0.0
akd_0259,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,4,8,1,0.125,0.25,0.16666666666666666,0.001100594294270134
akd_0259,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,4,5,2,0.4,0.5,0.4444444444444445,0.021385576788120444
akd_0259,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,4,5,2,0.4,0.5,0.4444444444444445,0.0
akd_0259,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,4,2,0,0.0,0.0,0.0,nan
akd_0259,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,4,6,1,0.16666666666666666,0.25,0.2,0.024203345044353668
akd_0259,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,4,4,1,0.25,0.25,0.25,0.0245747232955993
akd_0259,728,last,feature_hdbscan_medoid,0.0,translate,geometric,4,6,2,0.3333333333333333,0.5,0.4,0.028494232363208975
akd_0259,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,4,5,3,0.6,0.75,0.6666666666666665,0.0
akd_0337,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,2,2,1,0.5,0.5,0.5,0.024873664013540443
akd_0337,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,2,2,1,0.5,0.5,0.5,0.038340682561460004
akd_0337,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,2,2,0,0.0,0.0,0.0,nan
akd_0337,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,2,2,2,1.0,1.0,1.0,0.036562539745243594
akd_0337,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,2,3,0,0.0,0.0,0.0,nan
akd_0337,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,2,2,1,0.5,0.5,0.5,0.015661788637698584
akd_0337,728,last,feature_hdbscan_medoid,0.0,translate,geometric,2,3,0,0.0,0.0,0.0,nan
akd_0337,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,2,2,2,1.0,1.0,1.0,0.0
akd_0374,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,2,3,1,0.3333333333333333,0.5,0.4,0.02382279255288371
akd_0374,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,2,3,1,0.3333333333333333,0.5,0.4,0.04460632307421842
akd_0374,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,2,3,2,0.6666666666666666,1.0,0.8,0.011881125843068352
akd_0374,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,2,3,1,0.3333333333333333,0.5,0.4,0.02340564901351373
